part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,english_score,career_Accountant,career_Artist,career_Banker,career_Business Owner,career_Construction Engineer,career_Designer,career_Doctor,career_Game Developer,career_Government Officer,career_Lawyer,career_Real Estate Developer,career_Scientist,career_Software Engineer,career_Stock Investor,career_Writer
0,3,0,27,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,23,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,1,34,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,6,0,25,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,1,28,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,37,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,3,0,15,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,8,0,4,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,9,0,1,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,34,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,23,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,17,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,30,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,19,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,29,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,0,21,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,18,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,4,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,0,3,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5,1,5,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,28,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,6,1,16,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,9,0,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,3,77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,18,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,26,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0,23,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,7,0,2,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,18,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,3,0,27,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0,8,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4,0,14,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,8,0,3,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,16,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,7,0,32,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3,0,28,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,24,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,16,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
