gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,english_score,career_Accountant,career_Artist,career_Banker,career_Business Owner,career_Construction Engineer,career_Designer,career_Doctor,career_Game Developer,career_Government Officer,career_Lawyer,career_Real Estate Developer,career_Scientist,career_Software Engineer,career_Stock Investor,career_Teacher,career_Unknown,career_Writer
1,0,3,0,27,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,47,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,9,1,13,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,5,0,3,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,0,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,2,0,26,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,3,1,23,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2,1,34,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,6,0,25,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,3,1,18,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2,0,7,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,7,0,4,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,39,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,6,0,0,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,30,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,2,1,28,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,37,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,2,0,27,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,3,0,15,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,8,0,4,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,2,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9,0,1,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,35,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,5,0,22,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,3,0,34,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,23,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,17,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,19,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
