gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,geography_score,career_Accountant,career_Artist,career_Banker,career_Business Owner,career_Construction Engineer,career_Designer,career_Doctor,career_Game Developer,career_Government Officer,career_Lawyer,career_Real Estate Developer,career_Scientist,career_Software Engineer,career_Stock Investor,career_Teacher,career_Unknown,career_Writer
1,0,3,0,27,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,47,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,9,1,13,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,5,0,3,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,0,10,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,2,0,26,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,3,1,23,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2,1,34,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,6,0,25,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,3,1,18,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2,0,7,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,7,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,7,0,4,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,39,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,6,0,0,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,30,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,2,1,28,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,37,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,2,0,27,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,3,0,15,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,8,0,4,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,2,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9,0,1,79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,35,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,5,0,22,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,3,0,34,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,23,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,17,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,19,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,4,0,30,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,30,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,24,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
