id,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,career_Accountant,career_Artist,career_Banker,career_Business Owner,career_Construction Engineer,career_Designer,career_Doctor,career_Game Developer,career_Government Officer,career_Lawyer,career_Real Estate Developer,career_Software Engineer,career_Stock Investor,career_Teacher,career_Unknown
1,1,0,3,0,27,73,81,93,97,63,80,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,2,0,47,90,86,96,100,90,88,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,9,1,13,81,97,95,96,65,77,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,0,5,0,3,71,74,88,80,89,63,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,5,0,10,84,77,65,65,80,74,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,2,0,26,93,100,67,78,72,80,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,0,3,1,23,99,96,97,73,88,76,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1,1,2,1,34,95,95,82,63,84,70,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,1,0,6,0,25,94,68,94,85,81,74,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,0,3,1,18,98,69,88,71,67,71,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,0,2,0,7,65,60,97,94,71,81,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,1,0,1,0,7,80,61,100,65,87,64,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,1,7,0,4,94,59,69,67,89,65,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,0,3,0,39,96,90,86,92,92,95,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1,0,6,0,0,94,50,78,64,79,74,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0,0,3,1,30,92,64,93,91,80,89,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,2,1,28,86,83,85,79,93,76,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,1,0,1,0,37,92,87,92,99,97,87,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,2,0,27,99,65,98,75,66,72,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,1,1,3,0,15,100,90,72,98,73,97,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,1,0,8,0,4,57,55,78,94,83,88,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,0,0,9,0,2,89,72,68,72,71,54,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,0,0,4,0,35,87,91,90,88,95,88,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,0,0,5,0,22,92,86,87,81,93,90,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,1,0,3,0,34,100,77,80,94,63,90,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,23,64,75,93,79,81,96,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,1,17,79,65,99,71,76,77,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,14,88,69,87,100,88,85,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,0,0,4,0,30,70,68,92,74,82,85,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,1,0,4,0,30,77,96,98,89,85,62,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,1,0,24,99,84,84,78,78,77,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,3,1,31,90,93,91,80,86,69,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0,0,1,0,21,65,70,78,98,80,66,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,1,0,2,1,19,99,94,87,71,89,91,96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,1,0,1,0,29,92,100,85,89,81,91,88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,1,0,4,0,21,77,64,64,88,94,82,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,4,0,18,92,60,66,87,60,83,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,4,0,31,85,97,64,90,79,81,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,1,1,7,0,4,65,55,66,50,88,56,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,0,1,6,0,3,93,94,92,77,87,98,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,0,0,4,0,3,97,99,85,96,91,68,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,1,1,4,0,3,54,99,79,57,53,95,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,1,1,5,1,5,88,53,50,58,84,53,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,0,0,5,1,27,71,85,93,68,100,91,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,1,0,0,1,28,81,98,74,70,97,65,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,0,0,4,0,32,80,78,86,80,64,68,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,1,0,6,1,16,76,72,96,65,89,87,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,0,0,2,0,24,99,81,73,70,85,86,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1,0,9,0,0,64,70,61,81,82,51,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,0,0,3,0,32,90,96,86,61,89,98,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,2,0,3,85,100,92,68,60,77,83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,0,0,6,0,31,91,60,84,88,76,71,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,0,0,3,0,21,95,72,79,86,87,81,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,1,1,2,0,18,94,78,73,97,67,78,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,1,0,7,0,26,94,89,64,96,91,95,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,1,0,4,0,23,89,99,90,79,85,96,98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,0,0,2,0,1,91,81,88,71,78,83,76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,0,0,5,0,33,83,86,61,99,99,88,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,1,0,7,0,2,98,65,53,64,52,96,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,0,0,1,0,34,83,97,65,88,67,95,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,1,0,2,0,18,91,73,99,70,63,80,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,0,1,6,0,2,90,54,77,74,76,96,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,1,0,3,0,27,92,86,66,69,100,71,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,1,0,2,0,8,64,64,73,76,72,97,91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,1,0,4,0,14,90,70,85,60,81,71,88,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,0,0,1,0,15,89,66,93,81,86,88,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,0,1,3,0,22,62,87,93,83,93,97,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,2,0,20,85,100,64,68,73,81,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,0,0,7,1,27,99,90,96,92,100,98,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,0,0,3,0,24,87,63,60,90,89,99,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,0,0,1,1,5,75,91,80,93,74,93,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,0,0,7,0,34,88,94,80,63,68,77,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,1,0,3,0,16,87,79,89,68,93,75,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,0,1,3,0,3,87,67,94,92,62,58,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,0,0,1,0,15,76,67,83,85,91,61,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,0,0,7,0,11,60,80,61,63,95,92,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,1,0,7,0,32,85,65,99,100,88,93,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,0,3,0,28,73,67,70,71,65,73,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,0,1,0,24,85,71,69,80,70,77,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,0,0,2,0,9,91,76,71,72,92,67,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,0,0,3,1,14,99,95,83,89,81,63,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89,1,0,3,0,16,93,96,68,87,69,89,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,1,0,3,0,29,89,75,60,80,62,85,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,1,0,4,0,10,68,82,95,63,62,98,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,1,0,5,0,31,98,73,73,77,87,98,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,1,0,4,0,34,79,92,79,76,84,67,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,0,0,5,0,3,78,79,73,96,64,93,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,0,0,2,1,34,100,98,89,85,81,64,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,0,0,3,1,2,86,76,84,93,76,69,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,0,3,0,4,87,89,93,98,79,72,88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,1,1,0,0,28,100,93,85,61,96,83,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,0,0,0,0,5,85,89,94,69,99,93,98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,0,0,2,0,4,87,73,98,91,79,60,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,2,0,25,96,80,100,61,81,98,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,1,0,5,0,29,76,87,64,74,73,90,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,1,6,0,1,90,80,63,94,64,70,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,7,0,2,65,60,100,91,87,78,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,0,0,2,0,0,98,97,62,89,62,95,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,0,0,3,0,16,91,80,97,89,94,95,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,0,3,1,31,86,81,83,81,81,77,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,1,0,4,91,93,72,61,61,87,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,1,0,5,1,13,78,69,82,60,64,77,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,0,4,0,24,76,89,89,83,89,90,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,0,1,9,0,2,82,54,85,57,50,54,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,0,0,1,0,22,92,75,65,97,61,76,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,1,0,2,0,24,96,66,69,65,72,84,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,0,0,6,0,1,78,71,50,55,54,97,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,0,0,1,0,19,68,96,64,70,74,63,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,1,0,1,1,19,93,73,94,65,60,63,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,0,0,6,0,5,55,93,67,74,55,60,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,0,1,0,0,13,66,90,83,80,76,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,1,0,4,0,26,98,92,91,99,97,88,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,1,0,4,0,41,94,94,94,89,85,86,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,0,0,3,0,47,96,100,96,91,91,96,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,0,0,2,0,9,69,62,82,89,81,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,0,0,4,0,7,77,95,98,69,60,89,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,1,0,1,0,3,89,67,86,87,87,68,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,1,0,4,1,14,96,67,80,83,86,77,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,4,0,26,82,70,80,70,96,69,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,1,0,6,1,27,99,97,64,90,87,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
